Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
53,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 241, 'num_layers': 1, 'dropout_rate': 0.4187896340170664, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0004150385086403322, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.633024754781042, 'accuracy': 0.7813852813852814}","[0.8181818181818182, 0.6190476190476191, 0.9523809523809523, 0.9047619047619048, 0.47619047619047616]",0.7541125541125541,2959481.0,2.828395462036133
54,6,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 390, 'num_layers': 1, 'dropout_rate': 0.29208259123067726, 'bidirectional': False, 'attention': True, 'learning_rate': 1.80250092522166e-05, 'batch_size': 128, 'weight_decay': 0}","[0.8181818181818182, 0.6666666666666666, 0.9523809523809523, 0.6190476190476191, 0.7142857142857143]",0.7541125541125541,5582852.0,1.5394947052001953
55,3,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 268, 'num_layers': 1, 'dropout_rate': 0.18415375651227253, 'bidirectional': False, 'attention': True, 'learning_rate': 2.384948468508757e-06, 'batch_size': 32, 'weight_decay': 1e-05}","[0.8181818181818182, 0.3333333333333333, 1.0, 0.9047619047619048, 0.7142857142857143]",0.7541125541125541,3371978.0,2.8792064666748045
56,1,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 175, 'num_layers': 1, 'dropout_rate': 0.30667441166367176, 'bidirectional': True, 'attention': True, 'learning_rate': 3.1381799782066065e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.28662525467699884, 'accuracy': 0.5268398268398268}","[0.9090909090909091, 0.5714285714285714, 0.9523809523809523, 0.7142857142857143, 0.6190476190476191]",0.7532467532467533,2021951.0,2.506449794769287
57,2,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.4870848080411321, 'bidirectional': True, 'attention': True, 'learning_rate': 5.248074602497723e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6056519787273493, 'accuracy': 0.7627705627705628}","[0.9090909090909091, 0.5238095238095238, 0.9523809523809523, 0.6666666666666666, 0.7142857142857143]",0.7532467532467533,661634.0,3.2992410182952883
58,5,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 1, 'dropout_rate': 0.21497062746009235, 'bidirectional': False, 'attention': True, 'learning_rate': 2.8717458874925846e-05, 'batch_size': 64, 'weight_decay': 0}","[0.9090909090909091, 0.47619047619047616, 0.9047619047619048, 0.5714285714285714, 0.9047619047619048]",0.7532467532467533,1429890.0,2.391943597793579
59,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 106, 'num_layers': 1, 'dropout_rate': 0.29219133935407315, 'bidirectional': False, 'attention': True, 'learning_rate': 3.9523764984299994e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5343874023659018, 'accuracy': 0.7164502164502164}","[0.9090909090909091, 0.7142857142857143, 0.9047619047619048, 0.6666666666666666, 0.5714285714285714]",0.7532467532467532,1144378.0,2.4663893222808837
60,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 198, 'num_layers': 1, 'dropout_rate': 0.36956357129714706, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0008335097215351636, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.6269665104584355, 'accuracy': 0.7722943722943723}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.6666666666666666, 0.6666666666666666]",0.7532467532467532,2378180.0,2.335249900817871
61,6,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.2563954816523806, 'bidirectional': False, 'attention': True, 'learning_rate': 0.00013912876748776735, 'batch_size': 128, 'weight_decay': 5e-05, 'fitness': 0.3897160496391547, 'accuracy': 0.6116883116883117}","[0.9090909090909091, 0.42857142857142855, 0.9047619047619048, 0.7619047619047619, 0.7619047619047619]",0.7532467532467532,8078850.0,4.9189917087554935
62,2,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 204, 'num_layers': 2, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 64, 'weight_decay': 1e-05}","[0.9090909090909091, 0.47619047619047616, 0.9047619047619048, 0.9047619047619048, 0.5714285714285714]",0.7532467532467532,3425162.0,3.2936703681945803
63,8,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 189, 'num_layers': 3, 'dropout_rate': 0.23699231613475336, 'bidirectional': False, 'attention': True, 'learning_rate': 8.317167628422585e-06, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.34739688788488604, 'accuracy': 0.5839826839826839}","[0.5454545454545454, 0.7142857142857143, 0.9047619047619048, 0.7619047619047619, 0.8095238095238095]",0.7471861471861472,3970325.0,7.616602325439453
64,8,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 444, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 2.773923680169613e-05, 'batch_size': 64, 'weight_decay': 5e-05}","[0.7272727272727273, 0.6666666666666666, 0.9523809523809523, 0.9047619047619048, 0.47619047619047616]",0.7454545454545454,6643574.0,2.748716688156128
65,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.1274248317510547, 'bidirectional': True, 'attention': True, 'learning_rate': 4.5100770930862956e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.5258333589601787, 'accuracy': 0.7056277056277056}","[0.8181818181818182, 0.47619047619047616, 0.9047619047619048, 0.7619047619047619, 0.7619047619047619]",0.7445887445887446,661378.0,3.3255115032196043
66,6,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.4605207261693557, 'bidirectional': True, 'attention': True, 'learning_rate': 6.38674965878316e-07, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5525901336532935, 'accuracy': 0.7341991341991342}","[0.8181818181818182, 0.7142857142857143, 0.9523809523809523, 0.5238095238095238, 0.7142857142857143]",0.7445887445887446,665794.0,12.32813320159912
67,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 127, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': True, 'attention': True, 'learning_rate': 3.587902621604284e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5258333299763531, 'accuracy': 0.7056277056277056}","[0.9090909090909091, 0.7619047619047619, 1.0, 0.7142857142857143, 0.3333333333333333]",0.7437229437229438,1400303.0,3.3249984264373778
68,4,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.11446726638424794, 'bidirectional': True, 'attention': True, 'learning_rate': 0.003305148953587875, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.5533853446934629, 'accuracy': 0.7064935064935065}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.5714285714285714, 0.7142857142857143]",0.7437229437229437,14115842.0,3.217149829864502
